,Neurons,Astrocytes,Oligodendrocytes,Microglia,Endothelia
ENSG00000121989,15.41642418,5.121727917,7.806411565,8.670791062,13.90590345
ENSG00000114739,1.635610579,1.949841014,1.894511608,1.668496621,2.721295705
ENSG00000119640,35.70792674,19.12139893,29.39739733,10.66002632,16.54689773
ENSG00000170634,26.38865763,37.1465336,41.91098183,16.01094296,24.23261903
ENSG00000168803,6.157435403,17.24058545,5.050610045,6.807933581,4.002101948
ENSG00000137845,10.12744965,10.34018975,27.93679118,32.43642427,21.652023
ENSG00000151694,13.9101929,11.70688037,13.84364538,35.30751287,15.94104022
ENSG00000008277,24.5036054,5.528757551,11.54584843,5.80501668,4.480796767
ENSG00000114948,34.39143673,10.52220336,10.42693739,15.31807447,4.72799363
ENSG00000042980,0.400616335,0.701078683,2.825067308,153.9537741,0.853878917
ENSG00000197140,1.433381475,0.8932941,1.628751037,1.055256526,1.049595938
ENSG00000168615,7.665394808,6.462451459,10.47248887,26.67954185,13.0764802
ENSG00000049192,2.886145248,0.767800978,1.032252368,0.937960174,2.697520319
ENSG00000134917,2.149351464,0.502143077,3.739667764,1.15317809,4.196561955
ENSG00000184060,0.868097104,2.904614825,2.774559215,93.62014272,5.884579973
ENSG00000160710,17.15863913,14.49008905,13.60615411,16.58235228,32.89315382
ENSG00000197381,4.917045528,1.78985954,1.133487958,3.398230988,5.37468843
ENSG00000185736,41.65484325,9.008641422,27.79875924,6.861686879,11.66737014
ENSG00000063761,3.706287256,3.299266268,6.601221575,6.122825952,1.465255776
ENSG00000163050,3.220505154,2.263854003,3.447100821,2.736335759,3.69292179
ENSG00000164742,9.477656844,1.870648662,2.409333002,3.1444464,2.582652144
ENSG00000078295,19.73221177,34.31448273,4.044959096,5.717651205,3.027563511
ENSG00000138031,4.643938138,4.840691173,3.811962629,2.84160907,7.201975079
ENSG00000173175,2.702724605,1.243857026,7.417948405,1.418317519,2.257476148
ENSG00000121281,0.754632199,1.048670509,1.012512801,27.90960715,1.767144445
ENSG00000155897,6.933293403,18.20962111,2.520463289,2.057751874,1.567212539
ENSG00000162104,4.247710773,4.296263915,2.136724539,1.928701285,4.68901127
ENSG00000141433,3.269561776,0.415846783,0.928500542,1.338804099,1.731387361
ENSG00000078549,15.84681965,38.41607978,1.7167711,2.421025524,1.852503496
ENSG00000087274,9.001453629,26.93599136,18.38739893,10.55381342,17.54152326
ENSG00000075340,9.932374418,1.079375808,2.10639309,2.51722674,2.750461515
ENSG00000148700,27.84472973,147.0530485,67.42235713,7.95075254,41.2373828
ENSG00000197894,9.851688102,19.52742258,11.94252887,6.81849223,9.781287528
ENSG00000147576,2.69613184,43.81349498,6.185804371,3.660882487,5.510674765
ENSG00000182551,6.349323046,20.95883893,9.425780725,7.62546353,7.666208051
ENSG00000159346,12.42799921,14.06901942,17.25476226,19.18472923,17.94216154
ENSG00000006831,4.553691577,10.04923663,48.33523071,11.71296036,38.4248209
ENSG00000156110,45.93517575,38.92450256,36.71275007,69.1310807,58.84286307
ENSG00000101126,15.92744583,20.70413279,17.45090931,22.87417889,14.41810047
ENSG00000101544,5.327679377,7.180466186,8.529220639,5.892150188,12.24541663
ENSG00000181915,5.157319499,2.051008362,16.37974456,9.369369182,3.508709371
ENSG00000163485,3.511603308,4.8218881,7.610923286,2.767388855,2.231509709
ENSG00000170425,1.116706999,33.82872767,1.221356562,1.770119892,3.93107742
ENSG00000159322,2.471132285,5.101893406,4.609355071,18.08134101,5.147089757
ENSG00000116863,7.833775419,7.627087156,13.62352187,35.49894182,4.018336297
ENSG00000120907,5.532859653,20.14287591,1.56263971,1.319723661,1.052005616
ENSG00000170214,8.026691378,5.878381431,2.094756375,2.82477193,1.521346046
ENSG00000150594,2.629069902,0.749791887,0.370944414,1.186392016,1.379509334
ENSG00000043591,9.193347986,18.85129026,1.100911231,4.136072985,2.580179387
ENSG00000100077,25.46319091,8.940489069,4.296540811,19.66024829,11.7069822
ENSG00000239900,3.976038899,3.465362244,2.93492055,4.054731983,4.272016014
ENSG00000035687,8.389803663,3.785736839,23.03268038,9.8498693,3.702894315
ENSG00000139154,56.24769695,21.23580767,26.99153569,28.00265229,31.55911591
ENSG00000104964,16.6235665,8.609173063,10.5686428,11.95216034,21.66346166
ENSG00000196526,5.695826169,1.504362666,2.77417221,3.270117888,2.755825781
ENSG00000157510,0.308967218,2.987692573,0.445699719,0.891277996,12.79202523
ENSG00000169129,2.190467895,0.451759887,3.077697243,1.953846224,22.06454447
ENSG00000172493,3.198976182,15.70775563,6.281782085,22.54186892,24.125273
ENSG00000144218,18.05593843,5.648642393,6.461399805,13.19705373,7.093496538
ENSG00000072364,12.74578646,15.360743,14.55566085,21.81082993,23.13469397
ENSG00000141385,6.424357759,6.978219361,4.758532549,7.082448099,5.541159726
ENSG00000183077,2.878909013,1.594893939,19.0384058,7.062719449,7.95055422
ENSG00000119844,16.81369575,10.81076768,12.79633819,29.91499043,18.43179238
ENSG00000038002,2.188138922,6.69030777,20.10470574,5.989264954,1.235055627
ENSG00000157985,10.27546075,10.14037017,35.73195164,7.515058193,17.40409941
ENSG00000133612,5.378648217,3.123640419,4.384206828,7.711221825,7.761860358
ENSG00000204149,12.46535239,12.6915846,11.83214311,14.67248076,7.407713695
ENSG00000186094,54.48324975,19.77708055,18.08011957,27.85211173,6.853948744
ENSG00000173744,10.27570145,7.421916637,13.84974818,11.1860086,23.34022364
