"specimenID","libraryID","platform","RIN","rnaBatch","libraryBatch","sequencingBatch","libraryPrep","libraryPreparationMethod","isStranded","readStrandOrigin","runType","readLength","barcode","totalReads","mapped","rRNA.rate","assay","referenceSet","libraryVersion","DV200","validBarcodeReads"
"hB_RNA_9125","hB_RNA_9125","HiSeq2500",6.7,"NA","NA","K75rC014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,9125,40118766,39006947,0.006618231,"rnaSeq",,,,
"BM_36_374","BM_36_374","HiSeq2500",6.2,"NA","NA","S111B355","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,374,40134811,38881179,0.004356092,"rnaSeq",,,,
"hB_RNA_16065","hB_RNA_16065","HiSeq2500",9.5,"NA","NA","E008C189","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,16065,40136145,39345555,0.002774926,"rnaSeq",,,,
"hB_RNA_17015","hB_RNA_17015","HiSeq2500",10,"NA","NA","E009C189","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,17015,40175148,39400845,0.018601988,"rnaSeq",,,,
"BM_10_623","BM_10_623","HiSeq2500",6.5,"NA","NA","S112B394","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,623,40180471,38422184,0.0017047963,"rnaSeq",,,,
"BM_10_654","BM_10_654","HiSeq2500",7.6,"NA","NA","S107B355","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,654,40183744,39314617,0.0023118374,"rnaSeq",,,,
"BM_36_405","BM_36_405","HiSeq2500",6.9,"NA","NA","S111B355","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,405,40214527,38771354,0.00482547,"rnaSeq",,,,
"BM_36_363","BM_36_363","HiSeq2500",8.8,"NA","NA","S110B355","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,363,40216650,39482158,0.0023843427,"rnaSeq",,,,
"BM_36_403","BM_36_403","HiSeq2500",7,"NA","NA","S111B355","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,403,40219090,39153557,0.003741729,"rnaSeq",,,,
"BM_22_161","BM_22_161","HiSeq2500",6,"NA","NA","S114B394","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,161,40380909,38532066,0.0033122543,"rnaSeq",,,,
"hB_RNA_11052","hB_RNA_11052","HiSeq2500",5.7,"NA","NA","K79C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,11052,40396302,39296544,0.0068520783,"rnaSeq",,,,
"hB_RNA_16595","hB_RNA_16595","HiSeq2500",10,"NA","NA","E008C189","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,16595,40401890,39658091,0.008588991,"rnaSeq",,,,
"BM_22_132","BM_22_132","HiSeq2500",5.4,"NA","NA","S114B394","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,132,40414756,38543417,0.0017588997,"rnaSeq",,,,
"hB_RNA_9148","hB_RNA_9148","HiSeq2500",7.2,"NA","NA","K75rC014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,9148,40416885,39292021,0.0037735144,"rnaSeq",,,,
"BM_36_516","BM_36_516","HiSeq2500",4.7,"NA","NA","P19B648","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,516,40452533,39507744,0.0032631324,"rnaSeq",,,,
"hB_RNA_8455","hB_RNA_8455","HiSeq2500",6.2,"NA","NA","K85C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,8455,40454941,39240514,0.016034832,"rnaSeq",,,,
"BM_36_373","BM_36_373","HiSeq2500",6.6,"NA","NA","S110B355","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,373,40564790,39335416,0.004452349,"rnaSeq",,,,
"BM_36_432","BM_36_432","HiSeq2500",5.9,"NA","NA","S151B648","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,432,40573571,39877604,0.0009920105,"rnaSeq",,,,
"BM_10_728","BM_10_728","HiSeq2500",7.6,"NA","NA","S108B355","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,728,40575618,39792383,0.0021561915,"rnaSeq",,,,
"BM_10_737","BM_10_737","HiSeq2500",6.7,"NA","NA","S108B355","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,737,40680038,39762890,0.0024527896,"rnaSeq",,,,
"BM_22_117","BM_22_117","HiSeq2500",7,"NA","NA","S113B394","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,117,40697039,39549363,0.003195121,"rnaSeq",,,,
"BM_22_152","BM_22_152","HiSeq2500",6,"NA","NA","S114B394","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,152,40710431,39177614,0.010000276,"rnaSeq",,,,
"hB_RNA_12986","hB_RNA_12986","HiSeq2500",7.6,"NA","NA","K75rC014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,12986,40723789,39757217,0.0067383996,"rnaSeq",,,,
"hB_RNA_12606","hB_RNA_12606","HiSeq2500",3.5,"NA","NA","P62C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,12606,40750037,39057652,0.013907902,"rnaSeq",,,,
"hB_RNA_9205","hB_RNA_9205","HiSeq2500",7,"NA","NA","E2C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,9205,40787854,36443663,0.028082578,"rnaSeq",,,,
